"","curve1","curve2","curve3","curve4"
"951",1,0,0,0
"952",1,1,0.800357014112615,1
"953",0.845505022890071,1,0,0
"954",1,0.962624533921061,0,0.623529322077046
"955",0,0,1,0
"956",0,0,1,0
"957",1,0.967760254119656,0,0.713246746300567
"958",1,0,0,0
"959",0,0,1,0
"960",1,1,1,1
"961",1,0.854954614761164,0,0
"962",1,0.884708198848487,0,0.598577304623039
"963",0,0,0,1
"964",0.920929646213099,1,0,0
"965",0,0,1,0
"966",0,0,1,0
"967",1,0.960929534931085,0,0
"968",1,0,0,0
"969",0,0,1,0
"970",0,0,1,0
"971",1,1,1,1
"972",1,0.845647775175874,0,0
"973",1,1,1,1
"974",1,1,0.645119672846214,1
"975",1,0,0,0
"976",1,1,0,0.728601285946923
"977",1,1,0,1
"978",0,0,0,1
"979",1,1,0,0.88687307431287
"980",0,1,0,0
"981",0.969020023709285,1,0,0
"982",0.815061924540191,0.812011865610937,1,0.829081155539148
"983",1,1,0.208790948116224,1
"984",1,0,0,0
"985",1,1,0,1
"986",1,1,0,1
"987",1,1,0,0.874248549794914
"988",0.397381856115911,0.38880874350199,1,0.395168599796965
"989",1,1,0.16378422676654,1
"990",0.947334779978657,1,0,0
"991",1,1,0,1
"992",1,0,0,0
"993",1,0,0,0
"994",1,1,0,1
"995",0,0,0,1
"996",1,1,0,1
"997",1,1,1,1
"998",0,1,0,0
"999",1,1,0.55246575797609,1
"1000",0,0,1,0
"1001",0.329718453672705,1,0,0
"1002",1,1,0,1
"1003",0.203644092555981,1,0,0
"1004",1,0.913630233346258,0,0
"1005",0,0,1,0
"1006",0.389504444938059,1,0,0
"1007",0,0,1,0
"1008",1,0.201693805963243,0,0
"1009",1,1,0,1
"1010",1,1,0,0.91815716326802
"1011",1,0,0,0
"1012",0,1,0,0
"1013",0,0,1,0
"1014",1,1,0,0.896777610715938
"1015",1,1,1,1
"1016",0,0,1,0
"1017",1,1,0,1
"1018",1,1,0.373810167545498,1
"1019",1,1,1,1
"1020",1,0.962218115072133,0,0
