"","t6"
"907","Run4_131097901316828"
"908","Run5_204360559574387"
"909","Run5_200511163913966"
"910","Run5_169156975942491"
"911","Run5_170181029419358"
"912","Run5_192325881554734"
"913","Run4_164753398685099"
"914","Run4_120726912355038"
"915","Run4_227991424186285"
"916","Run4_197185798289702"
"917","Run5_120864516291955"
"918","Run5_169082619119964"
"919","Run5_169174289833198"
"920","Run5_122436443565299"
"921","Run4_240001509710564"
"922","Run5_169082619083187"
"923","Run4_196019733322150"
"924","Run5_230732701850340"
"925","Run4_239932640507627"
"926","Run4_227981774468964"
"927","Run5_164753414155507"
"928","Run4_169082592286508"
"929","Run5_170181056949164"
"930","Run5_195958632529315"
"931","Run4_164698934069596"
"932","Run5_126765667924829"
"933","Run5_231760571841950"
"934","Run4_157613982443444"
"935","Run4_230654483484006"
"936","Run4_197264019733939"
"937","Run5_134522378835749"
"938","Run5_155911418440036"
"939","Run5_192859679898339"
"940","Run5_169794751294811"
"941","Run5_201595540946284"
"942","Run5_230741425673948"
"943","Run5_235626694929309"
"944","Run4_121202323971293"
"945","Run4_165858428710309"
"946","Run5_164769504909660"
"947","Run5_134522331883238"
"948","Run4_204911389137758"
"949","Run5_133974635956653"
"950","Run5_226949805762278"
"951","Run4_227425427512566"
"952","Run5_196019701893942"
"953","Run5_164818790075254"
"954","Run5_235007433665894"
"955","Run5_235697669031795"
"956","Run4_239391489345902"
"957","Run4_125745344199091"
"958","Run4_197145264867251"
"959","Run4_241098905012469"
"960","Run5_191760422059236"
"961","Run5_130144714287028"
"962","Run4_227354874894630"
"963","Run4_227981760351091"
"964","Run5_165188444575965"
"965","Run5_129565671704435"
"966","Run4_236167177394595"
"967","Run5_226273452018029"
"968","Run4_226343141661086"
"969","Run5_191080770688886"
"970","Run5_235601972115739"
"971","Run4_131242097031516"
"972","Run5_239448294878118"
"973","Run5_130185503651573"
"974","Run5_120726924213467"
"975","Run5_170343479593691"
"976","Run5_122514691804534"
"977","Run5_170258500340126"
"978","Run5_121896094844654"
"979","Run4_197060143499614"
"980","Run5_241098858810213"
"981","Run5_235069798299443"
"982","Run5_235189011070307"
"983","Run4_236846706449244"
"984","Run4_192729635547060"
"985","Run4_239391502653292"
"986","Run5_157614001535324"
"987","Run4_241098904464669"
"988","Run4_197185797798310"
"989","Run5_235533401515747"
"990","Run5_155971426634459"
"991","Run5_197185785785588"
"992","Run5_170798611327900"
"993","Run5_165738987604380"
"994","Run5_226829515480475"
"995","Run5_121338017528694"
"996","Run5_235198527690669"
"997","Run5_201670670899627"
