"","t3"
"917","Run4_231770055138612"
"918","Run4_130142298069875"
"919","Run4_169587533592877"
"920","Run4_160928776776491"
"921","Run4_239587862722406"
"922","Run4_230732701330275"
"923","Run4_231279489305390"
"924","Run5_157690339907941"
"925","Run4_135699973654387"
"926","Run5_201523600189797"
"927","Run4_227493100276509"
"928","Run4_230654452087587"
"929","Run5_166400430857131"
"930","Run4_227844233324980"
"931","Run4_235737665432988"
"932","Run5_195958618351990"
"933","Run5_169579748996964"
"934","Run5_162078857317108"
"935","Run5_170198344260909"
"936","Run5_235122009487198"
"937","Run5_192306971524469"
"938","Run4_161960508222189"
"939","Run4_231900158220659"
"940","Run4_170660067457310"
"941","Run4_200441236409076"
"942","Run5_165325583595246"
"943","Run5_135700004595572"
"944","Run4_130675143007539"
"945","Run4_195547375033628"
"946","Run4_191553860942637"
"947","Run4_226953429990318"
"948","Run4_160990068135668"
"949","Run4_130126479550812"
"950","Run4_170198389603227"
"951","Run4_195967120529133"
"952","Run4_231280341531491"
"953","Run5_191756844513708"
"954","Run4_169158171125549"
"955","Run4_121826154859894"
"956","Run5_157684166182630"
"957","Run4_192317740209949"
"958","Run5_169727151983542"
"959","Run4_169587533334875"
"960","Run4_200563777793268"
"961","Run4_162090668383526"
"962","Run4_134447975255283"
"963","Run4_230592295168372"
"964","Run4_235000959285092"
"965","Run4_230800378744243"
"966","Run5_196113264204595"
"967","Run4_230592294906222"
"968","Run4_130203904260851"
"969","Run5_191647291226540"
"970","Run4_239475407608229"
"971","Run5_230749747243237"
"972","Run5_169793543138532"
"973","Run5_170180386340085"
"974","Run5_204427132266334"
"975","Run4_157004338227038"
"976","Run4_196174351822062"
"977","Run5_170180386142949"
"978","Run5_235626668157171"
"979","Run5_240094641350428"
"980","Run5_239946733316908"
"981","Run4_197188186917733"
"982","Run4_126218845964661"
"983","Run5_227853865273574"
"984","Run5_227903376910238"
"985","Run4_157004384294772"
"986","Run5_169156976209124"
"987","Run5_170877903297318"
"988","Run4_131217400708342"
"989","Run5_161451957246774"
"990","Run4_236175617813726"
"991","Run4_199944362671019"
"992","Run5_161864228395876"
"993","Run4_201670656153899"
"994","Run4_227844201278261"
"995","Run4_157684150947246"
"996","Run5_226822402520806"
"997","Run4_129583032002916"
